no,round ,rank,solved,rating,change
1,educational,12786,1,0,373
2,normal ,13033,1,373,242
3,normal ,10111,2,615,186
4,normal ,8378,2,801,126
5,educational,8661,2,927,75
6,div_4,8339,3,1002,38
7,educational,10872,1,1040,-60
8,normal ,7362,2,980,6
9,educational,4988,2,986,71
10,special,6956,1,1057,-29
11,normal ,5538,2,1028,30
12,special,5230,1,1058,-18
13,special,4210,2,1040,44
14,normal ,5372,1,1084,18
15,educational,3197,3,1102,87
16,normal ,4805,2,1189,19
17,educational,5122,2,1208,15
18,special,6611,1,1223,-37
19,div_3,3313,3,1186,27
20,normal ,2389,2,1213,71
21,normal ,4339,2,1284,10
22,special,4143,3,1294,48
23,educational,8624,1,1342,-71
24,normal ,3918,3,1271,7
25,special,2331,3,1278,77
26,normal ,2187,2,1355,33
27,educational,6214,2,1388,-51
28,div_3,6603,4,1500,68
29,div_3,6603,4,1500,68
1,educational,12786,1,0,373
29,div_3,6603,4,1500,68
