"Timestamp","O3 Conc(ppb)","Status","NO Conc(ppb)","Status","NOx Conc(ppb)","Status","NO2 Conc(ppb)","Status","SO2 Conc(ppb)","Status","CO Conc(ppm)","Status"
2022-07-01 00:00:00,24.35,128,0.17,128,3.14,128,2.97,128,0.78,128,0.16,128
2022-07-01 00:05:00,24.29,128,0.02,128,2.93,128,2.91,128,0.84,128,0.16,128
2022-07-01 00:10:00,24.73,128,0.06,128,2.9,128,2.84,128,0.91,128,0.16,128
2022-07-01 00:15:00,24.65,128,0.22,128,3.01,128,2.79,128,0.94,128,0.15,128
2022-07-01 00:20:00,24.45,128,0.31,128,3.05,128,2.74,128,0.96,128,0.15,128
2022-07-01 00:25:00,24.19,128,0.42,128,3.15,128,2.73,128,0.94,128,0.15,128
2022-07-01 00:30:00,24.32,128,0.45,128,3.23,128,2.78,128,0.97,128,0.15,128
2022-07-01 00:35:00,23.71,128,0.32,128,3.22,128,2.9,128,0.96,128,0.16,128
2022-07-01 00:40:00,24.1,128,0.28,128,3.32,128,3.04,128,0.95,128,0.16,128
2022-07-01 00:45:00,23.68,128,0.27,128,3.49,128,3.21,128,1,128,0.16,128
2022-07-01 00:50:00,23.24,128,0.22,128,3.57,128,3.35,128,0.98,128,0.17,128
2022-07-01 00:55:00,23.93,128,0.34,128,3.74,128,3.4,128,1.04,128,0.17,128
2022-07-01 01:00:00,24.55,128,0.4,128,3.81,128,3.4,128,1.06,128,0.17,128
2022-07-01 01:05:00,24.6,128,0.28,128,3.79,128,3.51,128,1.07,128,0.17,128
2022-07-01 01:10:00,24.96,128,0.03,128,3.61,128,3.57,128,1.02,128,0.17,128
2022-07-01 01:15:00,25.47,128,-0.05,128,3.46,128,3.51,128,1.03,128,0.16,128
2022-07-01 01:20:00,26.42,128,-0.11,128,3.36,128,3.47,128,0.99,128,0.16,128
2022-07-01 01:25:00,26.94,128,-0.01,128,3.33,128,3.35,128,1.03,128,0.16,128
2022-07-01 01:30:00,27.08,128,0.12,128,3.47,128,3.36,128,1.06,128,0.16,128
2022-07-01 01:35:00,27.37,128,0.17,128,3.48,128,3.31,128,1.03,128,0.16,128
2022-07-01 01:40:00,26.88,128,0.22,128,3.54,128,3.32,128,1.09,128,0.16,128
2022-07-01 01:45:00,26.73,128,0.23,128,3.47,128,3.24,128,1.14,128,0.16,128
2022-07-01 01:50:00,26.44,128,0.26,128,3.54,128,3.28,128,1.17,128,0.16,128
2022-07-01 01:55:00,24.98,128,0.25,128,3.69,128,3.44,128,1.17,128,0.16,128
2022-07-01 02:00:00,23.54,128,0.2,128,3.9,128,3.7,128,1.12,128,0.16,128
2022-07-01 02:05:00,23.7,128,0.22,128,3.98,128,3.77,128,1.17,128,0.16,128
2022-07-01 02:10:00,24.34,128,0.21,128,3.97,128,3.76,128,1.25,128,0.16,128
2022-07-01 02:15:00,24.47,128,0.22,128,4.02,128,3.8,128,1.26,128,0.16,128
2022-07-01 02:20:00,24.16,128,0.19,128,4.07,128,3.88,128,1.22,128,0.16,128
2022-07-01 02:25:00,24.27,128,0.33,128,4.17,128,3.84,128,1.18,128,0.16,128
2022-07-01 02:30:00,23.86,128,0.23,128,4.12,128,3.89,128,1.16,128,0.16,128
2022-07-01 02:35:00,24.08,128,0.11,128,4.04,128,3.93,128,1.14,128,0.16,128
2022-07-01 02:40:00,23.82,128,0.13,128,4.08,128,3.95,128,1.16,128,0.16,128
2022-07-01 02:45:00,24.22,128,0.2,128,4.04,128,3.83,128,1.22,128,0.16,128
2022-07-01 02:50:00,24.74,128,0.37,128,4.1,128,3.73,128,1.24,128,0.16,128
2022-07-01 02:55:00,25.06,128,0.47,128,4.01,128,3.54,128,1.28,128,0.16,128
2022-07-01 03:00:00,24.9,128,0.43,128,3.86,128,3.43,128,1.36,128,0.16,128
