m2700s22115,Bar.Pressure (mm-Hg),Solar Rad (wat/m2),RH (%),Temperature (*C),Rainfall (mm),Wind Dir (Deg),Wind Gust (km/h),Wind Speed (km/h),Dew Point (*C)
,mm-Hg,wat/m2,%,*C,mm,Deg,km/h,km/h,*C
,BAR,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
01-07-2022 00:00,725.7,0,45.6,34.9,0,91,14,8,21.4
01-07-2022 00:05,725.8,0,45.7,34.9,0,86,16,6,21.5
01-07-2022 00:10,725.8,0,45.7,34.9,0,84,19,9,21.5
01-07-2022 00:15,725.9,0,45.7,34.8,0,50,16,6,21.4
01-07-2022 00:20,725.8,0,45.8,34.8,0,66,12,6,21.4
01-07-2022 00:25,725.9,0,46,34.8,0,129,9,4,21.5
01-07-2022 00:30,725.9,0,46.1,34.7,0,80,12,6,21.4
01-07-2022 00:35,725.9,0,46.2,34.7,0,180,11,4,21.5
01-07-2022 00:40,725.9,0,46.1,34.8,0,93,12,6,21.5
01-07-2022 00:45,725.8,0,46.1,34.8,0,121,9,3,21.5
01-07-2022 00:50,725.8,0,46.4,34.6,0,238,6,3,21.4
01-07-2022 00:55,725.8,0,46.3,34.6,0,156,11,4,21.4
01-07-2022 01:00,725.8,0,46,34.6,0,159,14,4,21.3
01-07-2022 01:05,725.8,0,46.1,34.6,0,189,8,3,21.3
01-07-2022 01:10,725.8,0,46.3,34.6,0,135,12,6,21.4
01-07-2022 01:15,725.8,0,46.4,34.6,0,206,9,3,21.4
01-07-2022 01:20,725.8,0,46.4,34.5,0,132,14,6,21.3
01-07-2022 01:25,725.7,0,46.3,34.5,0,197,11,6,21.3
01-07-2022 01:30,725.7,0,46.3,34.4,0,136,14,6,21.2
01-07-2022 01:35,725.7,0,46.3,34.4,0,138,12,6,21.2
01-07-2022 01:40,725.7,0,46.4,34.4,0,108,9,4,21.2
01-07-2022 01:45,725.7,0,46.5,34.3,0,100,14,4,21.2
01-07-2022 01:50,725.7,0,46.4,34.3,0,170,9,4,21.2
01-07-2022 01:55,725.6,0,46.5,34.3,0,129,8,3,21.2
01-07-2022 02:00,725.7,0,46.5,34.2,0,94,11,6,21.1
01-07-2022 02:05,725.7,0,46.7,34.2,0,93,8,1,21.2
01-07-2022 02:10,725.7,0,46.8,34.2,0,105,6,3,21.2
01-07-2022 02:15,725.6,0,46.8,34.2,0,52,9,4,21.2
01-07-2022 02:20,725.5,0,46.7,34.2,0,138,12,6,21.2
01-07-2022 02:25,725.5,0,46.7,34.2,0,112,14,6,21.2
01-07-2022 02:30,725.5,0,46.7,34.1,0,91,12,4,21.1
01-07-2022 02:35,725.4,0,46.8,34.1,0,62,17,8,21.1
01-07-2022 02:40,725.4,0,46.8,34.1,0,145,16,6,21.1
01-07-2022 02:45,725.4,0,47,34,0,48,12,4,21.1
01-07-2022 02:50,725.3,0,47,34,0,81,14,8,21.1
01-07-2022 02:55,725.3,0,47.2,33.9,0,112,16,8,21.1
01-07-2022 03:00,725.3,0,47.3,33.9,0,127,11,4,21.1
01-07-2022 03:05,725.3,0,47.3,33.9,0,141,16,6,21.1
01-07-2022 03:10,725.3,0,47.4,33.8,0,73,16,8,21.1
01-07-2022 03:15,725.3,0,47.5,33.8,0,165,17,9,21.1
01-07-2022 03:20,725.3,0,47.6,33.9,0,151,12,4,21.2
01-07-2022 03:25,725.4,0,47.8,33.8,0,43,17,8,21.2
01-07-2022 03:30,725.4,0,47.9,33.8,0,118,14,8,21.2
01-07-2022 03:35,725.5,0,48.2,33.7,0,32,17,4,21.2
01-07-2022 03:40,725.6,0,48.2,33.7,0,158,11,4,21.2
01-07-2022 03:45,725.7,0,48.5,33.7,0,70,8,3,21.3
01-07-2022 03:50,725.7,0,48.6,33.8,0,79,14,6,21.5
01-07-2022 03:55,725.7,0,48.7,33.7,0,36,11,4,21.4
01-07-2022 04:00,725.7,0,48.8,33.7,0,83,11,4,21.4
01-07-2022 04:05,725.7,0,49,33.6,0,66,8,3,21.4
01-07-2022 04:10,725.7,0,49.1,33.6,0,56,12,6,21.4
01-07-2022 04:15,725.8,0,49.4,33.6,0,59,17,8,21.5
01-07-2022 04:20,725.8,0,49.6,33.6,0,60,17,9,21.6
01-07-2022 04:25,725.8,0,50,33.5,0,77,17,8,21.6
01-07-2022 04:30,725.8,0,50.3,33.4,0,43,20,9,21.7
01-07-2022 04:35,725.9,0,50.7,33.4,0,74,14,9,21.8
01-07-2022 04:40,725.9,0,51.4,33.2,0,69,17,11,21.8
01-07-2022 04:45,726,0,52.1,33.1,0,46,17,9,22
01-07-2022 04:50,726,0,53.1,33,0,72,16,9,22.2
01-07-2022 04:55,726.1,0,53.9,32.9,0,52,20,9,22.3
01-07-2022 05:00,726.1,0,54.6,32.8,0,62,16,9,22.4
01-07-2022 05:05,726.1,0,56.1,32.7,0,57,20,14,22.8
01-07-2022 05:10,726.2,0,56.7,32.6,0,40,14,9,22.9
01-07-2022 05:15,726.2,0,57.5,32.5,0,60,24,11,23
01-07-2022 05:20,726.2,0,57.9,32.5,0,56,17,9,23.1
01-07-2022 05:25,726.3,0,58.2,32.5,0,48,17,11,23.2
01-07-2022 05:30,726.3,0,58.6,32.4,0,45,17,9,23.2
01-07-2022 05:35,726.5,0,58.7,32.4,0,45,16,8,23.3
01-07-2022 05:40,726.4,0,59.2,32.3,0,56,22,12,23.3
01-07-2022 05:45,726.5,0,59.4,32.3,0,52,20,14,23.4
01-07-2022 05:50,726.6,0,59.6,32.2,0,69,19,12,23.3
01-07-2022 05:55,726.6,0,59.7,32.2,0,50,14,9,23.4
01-07-2022 06:00,726.6,0,59.6,32.2,0,50,17,14,23.3
01-07-2022 06:05,726.7,0,59.7,32.1,0,52,20,14,23.3
01-07-2022 06:10,726.7,1,59.8,32.2,0,43,20,12,23.4
01-07-2022 06:15,726.8,4,59.9,32.1,0,50,22,14,23.3
01-07-2022 06:20,726.8,6,59.8,32.1,0,52,16,11,23.3
